Rank,title,AuthorName,Language,Price_normal,Id
2405,Enemies and Neighbours,Ian Black,Engelsk,89.95,9780241004432
2406,Development as Freedom,Amartya Sen,Engelsk,71.51,9780307874290
2407,Graham Effect,,Engelsk,55.85,9780349439495
2408,Lies of Locke Lamora,Scott Lynch,Engelsk,49.95,9780553902716
2409,Waiting for Godot,Samuel Beckett,Engelsk,105.21,9780571297016
2410,Wisdom of Crowds,Joe Abercrombie,Engelsk,55.85,9780575095991
2411,"Vitamin D Cure, Revised",James Dowd,Engelsk,129.95,9781118227817
2412,Everything You Need to Know About the Menopause (but were too afraid to ask),Kate Muir,Engelsk,85.59,9781398505650
2413,One Impossible Labyrinth,Matthew Reilly,Engelsk,29.95,9781409194460
2414,Dragonsdawn,Anne McCaffrey,Engelsk,79.95,9781448127979
2415,All The Weyrs Of Pern,Anne McCaffrey,Engelsk,79.95,9781448152360
2416,Beginner's English (Learn BRITISH English as a Foreign Language),Cindy Cheetham,Engelsk,37.2,9781473612167
2417,Full Life,Jimmy Carter,Engelsk,142.18,9781501115653
2418,His Very Best,Jonathan Alter,Engelsk,142.18,9781501125553
2419,Napoleon's Commentaries on the Wars of Julius Caesar,R. A. Maguire,Engelsk,59.95,9781526716309
2420,Before & Laughter,Jimmy Carr,Engelsk,74.95,9781529413106
2421,Linux Basics for Hackers,OccupyTheWeb,Engelsk,351.09,9781593278564
2422,Science of Consequences,Susan M. Schneider,Engelsk,174.96,9781616146634
2423,Rainbow Way,Lucy H. Pearce,Engelsk,116.91,9781782790273
2424,Prisoners of Geography,Tim Marshall,Engelsk,129.95,9781783961429
2425,World Atlas of Coffee,James Hoffmann,Engelsk,37.2,9781784725716
2426,Lonely Planet Philippines,Paul Harding,Engelsk,210.54,9781838696535
2427,Unlikely Match,Lily Michaels,Engelsk,34.99,9781839430381
2428,Unlikley Harmony,Lily Michaels,Engelsk,34.99,9781839431265
2429,Angola,Sean Rorison,Engelsk,222.13,9781841627489
2430,Perfect Timing: Part One: A Box Set,Kim Dare,Engelsk,59.95,9781913186562
2431,Perfect Timing: Part Two: A Box Set,Kim Dare,Engelsk,70.1,9781913186623
2432,Frydenholm,Hans Scherfig,Dansk,49.95,9788702109993
2433,Sov godt - hele natten,Thomas Milsted,Dansk,49.95,9788702130157
2434,De gemte børn,Kirsten Nilsson,Dansk,49.95,9788702135893
2435,Fantastisk fødsel,Mette Radmer,Dansk,49.95,9788702162080
2436,En god kvindes kærlighed,Alice Munro,Dansk,49.95,9788702163438
2437,Heks - Lyt&læs,Rasmus Bregnhøi,Dansk,49.95,9788702169799
2438,"Hvorfor jeg føler det, du føler",Joachim Bauer,Dansk,79.95,9788702190571
2439,Store forventninger,Charles Dickens,Dansk,49.95,9788702207712
2440,Samlede skuespil / bd. 4,William Shakespeare,Dansk,49.95,9788702208221
2441,Brødrene på Yarlech Castle,Knud H. Thomsen,Dansk,49.95,9788702247992
2442,Vitello. 24 julehistorier Lyt&Læs,Kim Fupz Aakeson,Dansk,84.95,9788702269239
2443,Den guddommelige krop,Alexander Lowen,Dansk,49.95,9788702271454
2444,Frank vender hjem,Kristian Bang Foss,Dansk,129.95,9788702281323
2445,Noget jeg gerne vil sige,Alice Munro,Dansk,79.95,9788702286298
2446,Kilden,Tara Swart,Dansk,129.95,9788702290882
2447,Væk,Alice Munro,Dansk,79.95,9788702303582
2448,Et forførende tilbud,Tessa Dare,Dansk,79.95,9788702306460
2449,En uimodståelig udfordring,Tessa Dare,Dansk,129.95,9788702306521
2450,Et fristende væddemål,Tessa Dare,Dansk,79.95,9788702306552
2451,Fyret,PD James,Dansk,79.95,9788702337952
2452,Dobbeltspillet,Karen Robards,Dansk,129.95,9788702347838
2453,Hjemsted,Anna Elisabeth Jessen,Dansk,129.95,9788702352658
2454,Gensyn med Côte d'Azur,Jennifer Bohnet,Dansk,129.95,9788702391060
2455,Salsa - Kayas bog,Laura Ringo,Dansk,129.95,9788702395341
2456,Abelone på Bangsbo,Bent Haller,Dansk,199.95,9788711767542
2457,Mægtigere end sværdet,Jeffrey Archer,Dansk,69.95,9788711906842
2458,Den blå dør,Jørn Riel,Dansk,69.95,9788711921616
2459,Held i uheld,Danielle Steel,Engelsk,179.95,9788711997925
2460,Den unge mand,Annie Ernaux,Dansk,74.95,9788712075103
2461,Dit kompetente barn,Jesper Juul,Dansk,49.95,9788717045163
2462,Danmark under den anden verdenskrig. Bind 3,Børge Outze,Dansk,129.95,9788726211108
2463,Fædrelandet,Robert Harris,Dansk,79.95,9788726673197
2464,Hvorfor lige mig?,Maren Weischer,Dansk,149.95,9788727015712
2465,Landsmænd,Bo Lidegaard,Dansk,139.95,9788740012088
